Student_ID,Subject,Exam_Score,Homework_Completion_%,Teacher_Comments,Homework_Score,Final_Score
S00396,Arabic,76,90,Possible I large perhaps onto impact pretty agent long marriage civil often.,90.0,80.19999999999999
S06544,Math,91,100%,Attention very once light speak yeah against central.,100.0,93.69999999999999
S01277,Science,92,100%,Something piece phone wish rich these where career challenge despite thing cover.,100.0,94.39999999999999
S00686,English,40,90,Generation same story stand better father perform chance explain trouble best keep window.,90.0,55.0
S10984,History,57,90,Minute board finally traditional clear result push cold throughout create.,90.0,66.9
S05235,History,91,90,Main magazine consumer country any investment.,90.0,90.69999999999999
S00146,English,89,95,Probably specific science memory her stand since main.,95.0,90.8
S11885,English,60,95,Deal feel area matter painting goal both inside support together real.,95.0,70.5
S03222,Science,95,90,South policy with last wide value reach leave gun party explain reason.,90.0,93.5
S01968,Geography,50,95,Card cold imagine analysis here both knowledge.,95.0,63.5
S07201,Math,68,90,Put simple sport human them state property reach walk.,90.0,74.6
S02158,Math,68,90,Line market gas available chance who box field difficult and threat though.,90.0,74.6
S04713,Science,97,90,Country until face rich religious bad relationship industry owner.,90.0,94.89999999999999
S00394,History,74,80%,Budget size then beat list south see expert current dog.,80.0,75.8
S07662,Science,47,100%,Report fast focus into effect describe animal question show strong late.,100.0,62.9
S08590,Arabic,45,80%,Shoulder land clearly window begin while.,80.0,55.5
S01930,Math,90,80%,Official store foreign behavior situation information other others least work situation natural deal.,80.0,87.0
S11362,Arabic,70,100%,Seem head party garden maintain trade current them.,100.0,79.0
S03130,Math,109,-5,Specific story law tree sit him grow.,5.0,77.8
S07004,Geography,53,80%,State still real return activity drive.,80.0,61.099999999999994
S04249,Geography,78,100%,Great arm do brother treatment ten.,100.0,84.6
S09311,Arabic,102,80%,,80.0,95.39999999999999
S05501,History,66,90,Great western national state born both part policy cause establish value use government.,90.0,73.19999999999999
S00503,English,103,-5,Though fact several task any sense.,5.0,73.6
S05393,Arabic,110,80%,East result policy time standard build adult.,80.0,101.0
S12113,Math,76,80%,Large provide continue beat very main serve.,80.0,77.19999999999999
S10295,English,44,95,Care own environmental defense central international front manage activity deal arrive.,95.0,59.3
S05584,Science,106,95,Brother reveal much explain anything economy executive.,95.0,102.69999999999999
S02502,Math,86,-5,North easy political wait bill a have hold live rest.,5.0,61.699999999999996
S02707,English,79,-5,Someone hold job clearly until area seem report include act law.,5.0,56.8
S06883,History,46,100%,Individual yes eat senior today culture card first appear son ask.,100.0,62.199999999999996
S08270,Arabic,64,100%,Show among when arrive might none thousand want report own relationship already.,100.0,74.8
S05363,Math,105,90,Improve population star shoulder month stop especially pretty.,90.0,100.5
S00323,English,101,100%,Still senior north money along very water family board beyond.,100.0,100.69999999999999
S04915,English,98,95,Move four local interesting involve thousand research like little.,95.0,97.1
S10408,Arabic,101,100%,Off forward foot first best white senior oil moment staff source get will attorney.,100.0,100.69999999999999
S08096,History,56,90,Manager husband late production discussion loss deep.,90.0,66.19999999999999
S04091,History,72,100%,Those you apply child church certain from media game.,100.0,80.4
S02911,History,45,95,,95.0,60.0
S07992,Geography,96,-5,Boy certainly event single get president book there anything win.,5.0,68.69999999999999
S05620,Science,62,100%,Least senior someone stay day whole them.,100.0,73.4
S05675,English,62,80%,,80.0,67.4
S11950,English,97,-5,,5.0,69.39999999999999
S00719,Geography,102,80%,,80.0,95.39999999999999
S05436,History,41,80%,Well memory husband view weight country mean able race serve.,80.0,52.7
S01638,Science,105,90,Its day reality measure sure tax term can pretty officer despite organization though.,90.0,100.5
S04441,Geography,45,95,Discuss start more mention year air.,95.0,60.0
S02466,Geography,110,95,Center author agent provide machine wish tell arrive entire.,95.0,105.5
S09377,Math,48,-5,Food every father week particular let strategy election budget finally car real including.,5.0,35.099999999999994
S10138,English,90,90,Glass wish employee street magazine memory even specific particular tree different.,90.0,90.0
S07820,Geography,88,-5,And third action natural blood boy hair.,5.0,63.099999999999994
S05656,Arabic,92,90,Your piece wind sing question just say identify.,90.0,91.39999999999999
S02080,Science,90,95,,95.0,91.5
S05203,Math,110,100%,Change garden magazine behavior sit table speech base stand themselves.,100.0,107.0
S05366,Science,61,95,Information music hot everything number commercial week occur allow general box.,95.0,71.19999999999999
S00690,Geography,81,100%,Floor term experience off never than allow talk crime answer important.,100.0,86.69999999999999
S06170,Science,61,80%,Time side notice discuss hit wear play quality turn range lose author write.,80.0,66.69999999999999
S05994,Arabic,98,80%,When usually effect store open pressure south never through.,80.0,92.6
S11863,Arabic,84,100%,Team sport travel sign hair make phone edge pull involve campaign mouth.,100.0,88.8
S07165,Arabic,53,100%,Physical participant bar account couple job area.,100.0,67.1
S09411,Arabic,92,95,Use could on end Democrat then important almost help.,95.0,92.89999999999999
S08666,Arabic,99,-5,Anyone stay science likely information possible edge career quite apply body sport college.,5.0,70.8
S11797,English,83,90,Huge drop prove resource sense side list others.,90.0,85.1
S06634,Math,47,-5,Cup plant two night sound late stand lead down left.,5.0,34.4
S00984,English,50,-5,Number western inside not play ever father.,5.0,36.5
S01003,Arabic,69,95,Remain consumer brother same industry career treatment.,95.0,76.8
S07786,Math,109,100%,,100.0,106.3
S00355,Science,87,-5,Top side cause send occur ability behind represent above stop gun evidence.,5.0,62.4
S06511,Math,88,100%,Figure activity answer and house attorney.,100.0,91.6
S00282,History,85,-5,Idea keep American since front notice state whether quality town power system point.,5.0,60.99999999999999
S10169,English,50,100%,Future affect despite party herself able.,100.0,65.0
S05626,English,60,-5,Anything environment big so report technology want apply.,5.0,43.5
S08874,Arabic,58,-5,Student allow position rock evidence money.,5.0,42.099999999999994
S05102,Arabic,47,80%,Suddenly magazine trade compare fear foreign strong little yet young give price.,80.0,56.9
S03146,History,56,100%,Husband along end economy himself ago main wish well.,100.0,69.19999999999999
S00733,Science,107,80%,Itself relationship direction nearly indeed available national government full most.,80.0,98.89999999999999
S03155,Arabic,107,100%,,100.0,104.89999999999999
S06351,History,91,80%,Tax everybody money consider during late again collection it particular.,80.0,87.69999999999999
S09358,English,64,95,Culture thus travel pretty whose I piece national food play debate.,95.0,73.3
S06469,Math,81,80%,Free girl eat far model certain expert light meeting difficult edge say.,80.0,80.69999999999999
S10369,English,104,90,Side same without impact director everybody against just baby resource force.,90.0,99.8
S07619,History,85,90,Of hour economy everyone sport analysis.,90.0,86.5
S00403,Math,94,80%,Well him social success common save language election.,80.0,89.8
S00923,Science,74,100%,,100.0,81.8
S10494,Arabic,95,80%,Stop someone study matter car point wife.,80.0,90.5
S09844,Arabic,95,90,Bit since poor attorney record model pass run treat arm.,90.0,93.5
S05231,Geography,87,95,Determine outside according house teach against election plan prove forget decision.,95.0,89.4
S02564,Geography,52,100%,Several yes camera argue fight center just leader like.,100.0,66.4
S08988,Geography,57,95,Fall front amount charge item cut pick garden soon me of big.,95.0,68.4
S10680,Math,72,100%,People focus after price walk clearly remember create specific stop word maintain garden.,100.0,80.4
S06720,English,90,95,Like direction well sister act no find once care cup apply set all.,95.0,91.5
S01503,English,85,80%,Have agreement without young environment little deep turn new not wall true.,80.0,83.5
S05433,History,101,95,Push campaign box yes relationship article idea surface.,95.0,99.19999999999999
S05632,Science,108,-5,When mother assume admit lot child draw fast.,5.0,77.1
S01780,English,100,95,Who option take turn stage color determine stage section member local enjoy.,95.0,98.5
S07918,Science,96,100%,War provide send material clearly sea sing can.,100.0,97.19999999999999
S11822,History,57,95,Way dream natural seek against catch heart.,95.0,68.4
S07478,History,54,100%,Enjoy change when lose fund paper.,100.0,67.8
S06287,History,104,80%,Look she sea just usually kid four enough discussion past enter.,80.0,96.8
S02366,Science,72,-5,Seat but toward owner early simply Congress modern worker myself.,5.0,51.9
S02059,Math,105,95,Article budget capital suggest quality voice surface.,95.0,102.0
S04934,History,74,-5,Specific age serve number protect unit safe.,5.0,53.3
S02645,Geography,83,95,Marriage question practice drug keep real my style.,95.0,86.6
S10225,Science,75,80%,Around value turn whatever computer require thousand.,80.0,76.5
S08707,Arabic,63,80%,,80.0,68.1
S07173,Geography,44,100%,Eat total list political put decision not test.,100.0,60.8
S05611,Science,99,80%,Seat member yeah part instead very order kid guess show memory most although.,80.0,93.3
S02289,History,57,95,Could get word effect listen state couple build program account moment with.,95.0,68.4
S11424,English,67,-5,Important find health Congress sister simple doctor these.,5.0,48.4
S05037,History,49,95,Then white stuff choice church process rich catch.,95.0,62.8
S08743,Math,42,-5,,5.0,30.9
S03226,Math,87,100%,Listen travel law already long fish visit serve see various herself.,100.0,90.9
S08220,Math,105,100%,Heart case experience step once half audience point.,100.0,103.5
S03617,Geography,100,95,Some inside foot month rest prove again arm seem east paper.,95.0,98.5
S05844,English,40,80%,Security food crime television usually skill.,80.0,52.0
S01904,Arabic,53,95,Room dark year machine show outside important tough people need memory option.,95.0,65.6
S03924,English,93,90,Wife short even allow student member leave fine study nature market significant.,90.0,92.1
S07153,Arabic,79,-5,Actually unit card attack product camera then year growth north face remain.,5.0,56.8
S09125,Math,68,95,If other window look choose reach sister age.,95.0,76.1
S03383,Math,58,100%,Claim indicate both hope early study international fill mean.,100.0,70.6
S09487,English,60,95,Explain prepare challenge leader push activity sing.,95.0,70.5
S05876,English,84,-5,Offer apply this last store evening want wonder charge.,5.0,60.3
S03058,Math,96,95,Perhaps end interview make sign certain.,95.0,95.69999999999999
S03644,Arabic,88,90,,90.0,88.6
S11755,English,63,80%,Skin difference tonight still something reality.,80.0,68.1
S11383,Science,41,80%,Level majority rate rise remain sound determine expert growth indeed.,80.0,52.7
S07051,Geography,97,-5,Their wall population property discuss consumer per let operation blood near event perhaps.,5.0,69.39999999999999
